"","collectionunitid","chronologyid","chronologyname","ageboundolder","ageboundyounger","agetype","agemodel"
"83",15364,12023,"Chron 1",17070,15560,"Calibrated radiocarbon years BP","individually date radiocarbon units"
"84",15365,12024,"Chron 1",11400,9780,"Calibrated radiocarbon years BP","individually date radiocarbon units"
"85",15369,12027,"Chron 1",11080,10240,"Calibrated radiocarbon years BP","individually dated analysis units"
"86",15370,12028,"Chron 1",9480,8620,"Calibrated radiocarbon years BP","individually dated analysis units"
"87",15374,12032,"Chron 1",1880,1530,"Calibrated radiocarbon years BP","individually dated analysis units"
"88",15378,12034,"Partlow",1305,1650,"Calendar years AD/BC","one-sigma range of calibrated dates"
"89",15380,12035,"Etnier 2016",9507,2530,"Calibrated radiocarbon years BP","Individually dated analysis unit"
"90",15381,12036,"Eldridge",239,166,"Calendar years BP","Individually dated analysis unit"
"91",15390,12053,"Vinson",19600,0,"Calibrated radiocarbon years BP","Individually dated analysis units"
"92",15433,12111,"Neotoma 3",80000,0,"Calibrated radiocarbon years BP","assemblage dates"
"93",15465,12143,"Yarborough",2150,170,"Radiocarbon years BP","Raw 14C determinations"
"94",15505,12183,"Crozier",1310,450,"Radiocarbon years BP","Individually dated analysis units"
"95",15539,12217,"Steffian et al",600,200,"Calendar years BP","Culturally defined analysis unit"
"96",15598,12276,"Brooks River Bluffs Phase",600,150,"Calibrated radiocarbon years BP","individually dated age units"
"97",15604,12278,"Neotoma 1",910,660,"Calibrated radiocarbon years BP","individually dated analysis units"
"98",15605,12279,"Neotoma 1",1260,790,"Calibrated radiocarbon years BP","individually dated analysis units"
"99",15606,12280,"Neotoma 1",1770,1170,"Calibrated radiocarbon years BP","individually dated analysis units"
"100",15607,12281,"Neotoma 1",1570,1320,"Calibrated radiocarbon years BP","individually dated analysis units"
"101",15608,12282,"Neotoma 1",1880,1280,"Calibrated radiocarbon years BP","individually dated analysis units"
"102",15609,12283,"Neotoma 1",1820,1390,"Calibrated radiocarbon years BP","individually dated analysis units"
"103",15610,12284,"Neotoma 1",2300,1610,"Calibrated radiocarbon years BP","individually dated analysis units"
"104",15611,12285,"Neotoma 1",2680,1890,"Calibrated radiocarbon years BP","individually dated analysis units"
"105",15612,12286,"Neotoma 1",2490,2000,"Calibrated radiocarbon years BP","individually dated analysis units"
"106",15613,12287,"Neotoma 1",2720,2150,"Calibrated radiocarbon years BP","individually dated analysis units"
"107",15614,12288,"Neotoma 1",3080,1810,"Calibrated radiocarbon years BP","individually dated analysis units"
"108",15615,12289,"Neotoma 1",3820,3240,"Calibrated radiocarbon years BP","individually dated analysis units"
"109",15616,12290,"Neotoma 1",3840,3440,"Calibrated radiocarbon years BP","individually dated analysis units"
"110",15618,12291,"Neotoma 1",4840,4290,"Calibrated radiocarbon years BP","individually dated analysis unit"
"111",15623,12294,"Neotoma 1",940,670,"Calibrated radiocarbon years BP","individually dated analysis units"
"112",15624,12295,"Neotoma 1",7420,6520,"Calibrated radiocarbon years BP","individually dated analysis units"
"113",15683,12346,"Chron 1",22900,21030,"Calibrated radiocarbon years BP","individually dated analysis units"
"114",15684,12347,"Chron 1",13550,12120,"Calibrated radiocarbon years BP","individually dated analysis units"
"115",15685,12348,"Chron 1",14750,13560,"Calibrated radiocarbon years BP","individually dated analysis units"
"116",15686,12349,"Chron 1",16380,13480,"Calibrated radiocarbon years BP","individually dated analysis units"
"117",15710,12383,"Chron 1",7940,7170,"Calendar years BP","individually dated analysis units"
"118",15711,12384,"Chron 1",3550,2860,"Calendar years BP","individually dated analysis units"
"119",15712,12385,"Chron 1",3340,2730,"Calendar years BP","individually dated analysis units"
"120",15713,12386,"Chron 1",650,280,"Calibrated radiocarbon years BP","individually dated analysis units"
"121",15714,12387,"Chron 1",13220,11240,"Calibrated radiocarbon years BP","individually dated analysis units"
"122",15715,12388,"Chron 1",12160,10170,"Calibrated radiocarbon years BP","individually dated analysis units"
"123",15721,12395,"Clys Canyon",470,490,"Calendar years BP","individually dated analysis samples"
"124",15722,12396,"Chron 1",13130,12530,"Calibrated radiocarbon years BP","individually dated radiocarbon units"
"125",15723,12397,"Chron 1",15580,13020,"Calibrated radiocarbon years BP","individually dated radiocarbon units"
"126",15727,12404,"Chron 1",2350,2050,"Calibrated radiocarbon years BP","individually dated analysis units"
"127",15728,12405,"Chron 1",5910,5040,"Calibrated radiocarbon years BP","individually dated analysis units"
"128",15729,12406,"Chron 1",3160,2730,"Calendar years BP","individually dated analysis units"
"129",15730,12407,"Chron 1",23130,21050,"Calendar years BP","individually dated analysis units"
"130",15731,12408,"Chron 1",20490,18850,"Calendar years BP","individually dated analysis units"
"131",15732,12409,"Chron 1",14380,13850,"Calibrated radiocarbon years BP","individually dated analysis units"
"132",15733,12410,"Chron 1",2410,2260,"Calibrated radiocarbon years BP","individually dated analysis units"
"133",15734,12411,"Chron 1",2220,2090,"Calibrated radiocarbon years BP","individually dated analysis units"
"134",15735,12412,"Chron 1",1960,1850,"Calibrated radiocarbon years BP","individually dated analysis units"
"135",15736,12413,"Chron 1",10180,9250,"Calibrated radiocarbon years BP","individually dated analysis units"
"136",15737,12414,"Chron 1",7680,7470,"Calibrated radiocarbon years BP","individually dated analysis units"
"137",15738,12415,"Chron 1",10040,9670,"Calibrated radiocarbon years BP","individually dated analysis units"
"138",15744,12422,"Chron 1",470,-10,"Calibrated radiocarbon years BP","individually dated analysis units"
"139",15745,12423,"Chron 1",3580,2720,"Calibrated radiocarbon years BP","individually dated analysis units"
"140",15746,12424,"Chron 1",12730,12020,"Calibrated radiocarbon years BP","individually dated analysis units"
"141",15754,12435,"Chron 1",15880,13540,"Calibrated radiocarbon years BP","individually dated analysis units"
"142",15755,12436,"Chron 1",10500,10180,"Calibrated radiocarbon years BP","individually dated analysis units"
"143",15756,12437,"Chron 1",4090,3600,"Calibrated radiocarbon years BP","individually dated analysis units"
"144",15757,12438,"Chron 1",9020,8620,"Calibrated radiocarbon years BP","individually dated analysis units"
"145",15758,12439,"Chron 1",4530,4170,"Calibrated radiocarbon years BP","individually dated analysis units"
"146",15759,12440,"Chron 1",26920,23730,"Calibrated radiocarbon years BP","individually dated analysis units"
"147",15760,12441,"Chron 1",4280,3970,"Calibrated radiocarbon years BP","individually dated analysis units"
"148",15845,12550,"Chron 1",280,0,"Calendar years BP","individually dated analysis units"
"149",15846,12551,"Chron 1",680,480,"Calendar years BP","individually dated analysis units"
"150",15847,12552,"Chron 1",930,650,"Calendar years BP","individually dated analysis units"
"151",15848,12553,"Chron 1",1560,1310,"Calendar years BP","individually dated analysis units"
"152",15849,12554,"Chron 1",2350,1890,"Calendar years BP","individually dated analysis units"
"153",15850,12555,"Chron 1",2740,2170,"Calendar years BP","individually dated analysis units"
"154",15851,12556,"Chron 1",3640,3200,"Calendar years BP","individually dated analysis units"
"155",15852,12557,"Chron 1",4500,3980,"Calendar years BP","individually dated analysis units"
"156",15853,12558,"Chron 1",4810,4080,"Calendar years BP","individually dated analysis units"
"157",15854,12559,"Chron 1",8300,7010,"Calendar years BP","individually dated analysis units"
"158",15855,12560,"Chron 1",8950,7940,"Calendar years BP","individually dated analysis units"
"159",15856,12561,"Chron 1",12160,11140,"Calendar years BP","individually dated analysis units"
"160",16114,12718,"Chron 1",2750,2150,"Calibrated radiocarbon years BP","individually dated analysis unts"
"161",16115,12719,"Chron 1",13100,12550,"Calibrated radiocarbon years BP","individually dated analysis unts"
"162",16116,12720,"Chron 1",13590,12050,"Calibrated radiocarbon years BP","individually dated analysis unts"
"163",16117,12721,"Chron 1",2470,2060,"Calibrated radiocarbon years BP","individually dated analysis unts"
"164",16255,12837,"Faunmap 2.1",4160,3820,"Radiocarbon years BP","Individually dated analysis unit"
"165",16264,12845,"Faunmap 2.1",10220,0,"Radiocarbon years BP","Individually dated analysis unit"
"166",16266,12847,"Faunmap 2.1",7855,7645,"Radiocarbon years BP","Individually dated analysis unit"
"167",16267,12848,"Faunmap 2.1",11510,9700,"Radiocarbon years BP","Individuallly dated analysis unit"
"168",16270,12851,"Faunmap 2.1",14120,0,"Radiocarbon years BP","Individually dated analysis unit"
"169",16271,12852,"Faunmap 2.1",16570,3050,"Radiocarbon years BP","Individually dated analysis units"
"170",16272,12853,"Faunmap 2.1",4200,3600,"Radiocarbon years BP","Directly dated assemblage"
"171",16276,12857,"Faunmap 2.1",2550,2330,"Radiocarbon years BP","directly dated analysis unit"
"172",16279,12860,"Faunmap 2.1",33990,21880,"Radiocarbon years BP","Individually dated analysis unit"
"173",16281,12862,"Faunmap 2.1",22000,22000,"Radiocarbon years BP","directly dated specimen"
"174",16287,12868,"Faunmap 2.1",17240,9020,"Radiocarbon years BP","Individually dated analysis unit"
"175",16289,12870,"Faunmap 2.1",23190,19370,"Radiocarbon years BP","Individually dated analysis unit"
"176",16291,12872,"Faunmap 2.1",12710,12410,"Radiocarbon years BP","directly dated analysis unit"
"177",16293,12874,"Faunmap 2.1",5520,140,"Radiocarbon years BP","directly dated analysis unit"
"178",16297,12878,"Faunmap 2.1",5460,750,"Calibrated radiocarbon years BP","Individually dated analysis unit"
"179",16305,12886,"Faunmap 2.1",1770,1360,"Radiocarbon years BP","Individually dated analysis unit"
"180",16316,12897,"Faunmap 2.1",27980,9750,"Radiocarbon years BP","directly dated analysis unit"
"181",16317,12898,"Faunmap 2.1",1640,610,"Radiocarbon years BP","directly dated analysis unit"
"182",16323,12904,"Faunmap 2.1",3345,3165,"Radiocarbon years BP","directly dated analysis unit"
"183",16371,12951,"Faunmap 2.1",480,150,"Radiocarbon years BP","Individually dated analysis uniit"
"184",16560,13265,"Chron1",2310,2140,"Calendar years BP","individually dated analysis units"
"185",17704,14492,"Woodhouse-Beyer",160,120,"Calendar years BP","Individually dated analysis unit"
"186",17848,14690,"Faunmap 2.1",930,490,"Radiocarbon years BP","Indivdually dated analysis unit"
"187",17974,14805,"Faunmap 2.1",2620,2360,"Radiocarbon years BP","Individually dated analysis unit"
"188",18021,14862,"Faunmap 2.1",8500,200,"Radiocarbon years BP","individually dated analysis units"
"189",18027,14870,"Faunmap 2.1",360,120,"Radiocarbon years BP","Direct specimen date"
"190",18051,14904,"Faunmap 2.1",18565,18025,"Radiocarbon years BP","individually dated analysis unit"
"191",18052,14905,"Neotoma 1",28400,27700,"Calibrated radiocarbon years BP","dated specimen"
"192",18064,14925,"Faunmap 2.1",12480,10630,"Radiocarbon years BP","directly dated analysis unit"
"193",18073,14934,"Faunmap 2.1",8584,7166,"Calendar years BP","Individually dated analysis unit"
"194",18076,14937,"Faunmap 2.1",15670,13770,"Radiocarbon years BP","directly dated assemblage"
"195",18082,14943,"Faunmap 2.1",8160,1187,"Calendar years BP","Individually dated analysis unit"
"196",18103,14975,"Faunmap 2.1",1530,40,"Radiocarbon years BP","directly dated assemblage"
"197",18104,14976,"Faunmap 2.1",2060,915,"Radiocarbon years BP","directly dated assemblage"
"198",18110,14982,"Faunmap 2.1",24080,13560,"Radiocarbon years BP","directly dated assemblage"
"199",18113,14985,"Faunmap 2.1",2565,2020,"Radiocarbon years BP","directly dated assemblage"
"200",18124,14998,"Faunmap 2.1",540,420,"Radiocarbon years BP","directly dated assemblage"
"201",18128,15002,"Faunmap 2.1",350,230,"Radiocarbon years BP","directly dated assemblage"
"202",18133,15007,"Faunmap 2.1",1180,1040,"Radiocarbon years BP","directly dated assemblage"
"203",18134,15008,"Faunmap 2.1",1100,920,"Radiocarbon years BP","directly dated assemblage"
"204",18136,15010,"Faunmap 2.1",4700,2600,"Radiocarbon years BP","directly dated assemblage"
"205",18137,15011,"Faunmap 2.1",1360,1200,"Radiocarbon years BP","directly dated assemblage"
"206",18160,15048,"Faunmap 2.1",12600,9400,"Radiocarbon years BP","directly dated assemblage"
"207",18162,15050,"Faunmap 2.1",11260,2740,"Radiocarbon years BP","directly dated assemblage"
"208",18166,15054,"Faunmap 2.1",1650,1070,"Radiocarbon years BP","directly dated assemblage"
"209",18213,15090,"Faunmap 2.1",11075,1355,"Calendar years BP","Individually dated analysis unit"
"210",18217,15097,"Faunmap 2.1",652,306,"Calendar years BP","Individually dated analysis unit"
"211",18219,15099,"Faunmap 2.1",3670,3530,"Radiocarbon years BP","directly dated assemblage"
"212",18220,15100,"Faunmap 2.1",2610,2290,"Radiocarbon years BP","directly dated assemblage"
"213",18221,15101,"Faunmap 2.1",1900,1780,"Radiocarbon years BP","directly dated assemblage"
"214",18222,15102,"Faunmap 2.1",300,120,"Radiocarbon years BP","directly dated assemblage"
"215",18225,15105,"Faunmap 2.1",830,670,"Radiocarbon years BP","directly dated assemblage"
"216",18275,15141,"Faunmap 2.1",2750,20,"Calibrated radiocarbon years BP","Bacon"
"217",18300,15167,"Faunmap 2.1",3720,50,"Calendar years BP","individually dated analysis unit"
"218",18306,15174,"Faunmap 2.1",12530,11340,"Calendar years BP","Individually dated analysis unit"
"219",18307,15175,"Faunmap 2.1",1260,760,"Calendar years BP","Individually dated analysis unit"
"220",18320,15189,"Faunmap 2.1",10140,450,"Calendar years BP","Individually dated analysis unit"
"221",18340,15206,"Faunmap 2.1",4500,0,"Radiocarbon years BP","directly dated assemblage"
"222",18342,15208,"Faunmap 2.1",1575,1205,"Radiocarbon years BP","directly dated assemblage"
"223",18344,15210,"Faunmap 2.1",1035,895,"Radiocarbon years BP","directly dated assemblage"
"224",18356,15221,"Faunmap 2.1",8520,7650,"Calendar years BP","Individually dated analysis unit"
"225",18379,15246,"Faunmap 2.1",27610,27030,"Calendar years BP","Individually dated analysis unit"
"226",18380,15247,"Faunmap 2.1",32630,31280,"Calendar years BP","Individually dated analysis unit"
"227",18383,15250,"Faunmap 2.1",4240,2060,"Calendar years BP","Individually dated analysis unit"
"228",18384,15251,"Faunmap 2.1",700,0,"Calendar years BP","Individually dated analysis unit"
"229",18391,15258,"Faunmap 2.1",8390,8270,"Radiocarbon years BP","directly dated assemblage"
"230",18414,15285,"Faunmap 2.1",1780,300,"Calendar years BP","Individually dated analysis unit"
"231",18422,15294,"Faunmap 2.1",11610,9260,"Calendar years BP","Individually dated analysis unit"
"232",18428,15302,"Faunmap 2.1",4435,1400,"Radiocarbon years BP","directky dated assemblage"
"233",18429,15303,"Faunmap 2.1",710,300,"Radiocarbon years BP","directly dated assemblage"
"234",18437,15312,"Faunmap 2.1",1270,1070,"Radiocarbon years BP","directly dated assemblage"
"235",18438,15313,"Faunmap 2.1",4500,0,"Radiocarbon years BP","directly dated assemblage"
"236",18439,15314,"Faunmap 2.1",1600,730,"Radiocarbon years BP","directly dated assemblage"
"237",18441,15316,"Faunmap 2.1",1250,950,"Radiocarbon years BP","directly dated assemblage"
"238",18443,15318,"Faunmap 2.1",1240,860,"Radiocarbon years BP","directly dated assemblage"
"239",18448,15325,"Faunmap 2.1",1200,290,"Calendar years BP","Individually dated analysis unit and cultural"
"240",18521,15396,"Faunmap 2.1",8160,2360,"Calendar years BP","Individually dated analysis unit"
"241",18533,15407,"Faunmap 2.1",2340,0,"Calendar years BP","Individually dated analysis unit"
"242",18545,15419,"Faunmap 2.1",29801,22560,"Radiocarbon years BP","directly dated assemblage"
"243",18548,15422,"Faunmap 2.1",1995,1390,"Radiocarbon years BP","directly dated assemblage"
"244",18551,15425,"Faunmap 2.1",385,235,"Radiocarbon years BP","directly dated assemblage"
"245",18557,15431,"Faunmap 2.1",5620,5140,"Radiocarbon years BP","directly dated assemblage"
"246",18559,15434,"Faunmap 2.1",2660,2540,"Radiocarbon years BP","directly dated assemblage"
"247",18562,15437,"Faunmap 2.1",1110,80,"Radiocarbon years BP","directly dated assemblage"
"248",18563,15438,"Faunmap 2.1",2760,2600,"Radiocarbon years BP","directly dated assemblage"
"249",18565,15440,"Faunmap 2.1",8550,8150,"Radiocarbon years BP","directly dated specimen"
"250",18566,15441,"Faunmap 2.1",9560,9240,"Radiocarbon years BP","directly dated specimen"
"251",18567,15442,"Faunmap 2.1",650,510,"Radiocarbon years BP","directly dated assemblage"
"252",18569,15444,"Faunmap 2.1",1820,1045,"Radiocarbon years BP","directly dated assemblage"
"253",18581,15456,"Faunmap 2.1",8080,7920,"Radiocarbon years BP","directly dated specimen"
"254",18584,15459,"Faunmap 2.1",1100,540,"Radiocarbon years BP","directly dated assemblage"
"255",18585,15460,"Faunmap 2.1",720,580,"Radiocarbon years BP","directly dated assemblage"
"256",18753,15640,"Faunmap 2.1",3260,710,"Radiocarbon years BP","directly dated assemblage"
"257",18757,15644,"Faunmap",11400,10720,"Calendar years BP","Individually dated analysis unit"
"258",18761,15647,"Faunmap 2.1",11800,0,"Calendar years BP","Individually dated analysis units"
"259",18762,15648,"Faunmap 2.1",1540,310,"Calendar years BP","Individually dated analysis unit"
"260",18770,15652,"Faunmap 2.1",500,450,"Calendar years BP","Cultural association"
"261",18775,15657,"Faunmap 2.1",1230,680,"Calendar years BP","Idividually dated analysis unit"
"262",18786,15676,"Faunmap 2.1",84500,71000,"Calendar years BP","Stratigraphic position"
"263",18789,15679,"Faunmap 2.1",11400,11260,"Radiocarbon years BP","directly dated assemblage"
"264",18792,15682,"Faunmap 2.1",4345,705,"Radiocarbon years BP","directly dated assemblage"
"265",18793,15683,"Faunmap 2.1",6150,5620,"Radiocarbon years BP","directly dated assemblage"
"266",18799,15689,"Faunmap 2.1",1330,1070,"Radiocarbon years BP","directly dated assemblage"
"267",18800,15690,"Faunmap 2.1",4500,0,"Radiocarbon years BP","directly dated assemblage"
"268",18801,15691,"Faunmap 2.1",667,340,"Radiocarbon years BP","directly dated assemblage"
"269",18803,15693,"Faunmap 2.1",2340,750,"Radiocarbon years BP","directly dated assemblage"
"270",18812,15702,"Faunmap 2.1",1730,1510,"Radiocarbon years BP","directly dated assemblage"
"271",18813,15703,"Faunmap 2.1",14660,2070,"Radiocarbon years BP","directly dated assemblage"
"272",18854,15744,"Faunmap 2.1",1150,550,"Calendar years BP","Cultural association"
"273",18902,15792,"Faunmap 2.1",2000,200,"Calendar years BP","Cultural association"
"274",18903,15793,"Faunmap 2.1",2000,200,"Calendar years BP","Cultural association"
"275",18918,15807,"Faunmap 2.1",2300,1710,"Calendar years BP","Individually dated analysis unit"
"276",18970,15859,"Faunmap 2.1",6180,3640,"Calendar years BP","Individually dated analysis unit"
"277",19119,16008,"Neotoma 1",8950,80,"Calibrated radiocarbon years BP","OxCal phase model, directly dated analysis units"
"278",19229,16123,"Faunmap 2.1",3370,790,"Calendar years BP","Individually dated analysis unit"
"279",19281,16201,"Faunmap 2.1",2400,0,"Calendar years BP","Cultural association"
"280",19341,16280,"Faunmap 2.1",1180,790,"Calendar years BP","Individually dated analysis unit"
"281",19402,16340,"Faunmap 2.1",3210,1320,"Calendar years BP","Individually dated analysis unit"
"282",19403,16341,"Faunmap 2.1",1310,790,"Radiocarbon years BP","Individually dated analysis unit"
"283",19404,16342,"Faunmap 2.1",920,500,"Calendar years BP","Individually dated analysis unit"
"284",19406,16344,"Faunmap 2.1",500,320,"Radiocarbon years BP","Individually dated analysis unit"
"285",19407,16345,"Faunmap 2.1",530,300,"Calendar years BP","Individually dated analysis unit"
"286",19408,16346,"Faunmap 2.1",11000,10500,"Calendar years BP","Cultural association"
"287",19415,16360,"Faunmap 2.1",930,560,"Calendar years BP","individually dataed analysis unit"
"288",19417,16362,"Faunmap 2.1",1950,1410,"Calendar years BP","Individually dated analysis unit"
"289",19418,16363,"Faunmap 2.1",900,310,"Calendar years BP","Individually dated analysis unit"
"290",19438,16381,"Faunmap 2.1",1370,1210,"Radiocarbon years BP","directly dated analysis unit"
"291",19439,16382,"Faunmap 2.1",7620,6920,"Radiocarbon years BP","directly dated analysis unit"
"292",19445,16388,"Faunmap 2.1",2460,970,"Calendar years BP","Individually dated analysis unit"
"293",19447,16390,"Faunmap 2.1",12890,10260,"Calendar years BP","Direct specimen date"
