"siteid","collectionunitid","sampleid","datasetid","analysisunitid","geochronid","geochrontypeid","agetypeid","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes","depenvtid","sitename","rejected"
490,5017,116057,9563,81120,8214,"Carbon-14","Radiocarbon years BP",16710,270,270,FALSE,NA,"Beta-12528","wood","",123,"Conklin Quarry",FALSE
490,5017,116058,9563,81120,8215,"Carbon-14","Radiocarbon years BP",17170,205,205,FALSE,NA,"DIC-1240","wood","",123,"Conklin Quarry",FALSE
490,5017,116059,9563,81120,8216,"Carbon-14","Radiocarbon years BP",18090,190,190,FALSE,NA,"Beta-12527","wood","",123,"Conklin Quarry",FALSE
1135,4491,114941,9316,80273,7098,"Carbon-14","Radiocarbon years BP",23100,860,860,FALSE,NA,"Gak-5438","bone collagen","",112,"January Cave [EbPp-Vp]",FALSE
1135,4491,114942,9316,80274,7099,"Carbon-14","Radiocarbon years BP",23100,860,860,FALSE,NA,"Gak-5438","bone collagen","",112,"January Cave [EbPp-Vp]",FALSE
1135,4491,114943,9316,80275,7100,"Carbon-14","Radiocarbon years BP",23100,860,860,FALSE,NA,"Gak-5438","bone collagen","",112,"January Cave [EbPp-Vp]",FALSE
1135,4491,119082,9316,92025,11239,"Carbon-14","Radiocarbon years BP",31900,1400,1400,FALSE,NA,"QL-1738","bone collagen","",112,"January Cave [EbPp-Vp]",FALSE
1135,4491,119083,9316,92026,11240,"Carbon-14","Radiocarbon years BP",33500,1100,1100,FALSE,NA,"QL-1737","bone collagen","",112,"January Cave [EbPp-Vp]",FALSE
1361,7237,118584,10264,84444,10741,"Carbon-14","Radiocarbon years BP",60000,NA,NA,TRUE,NA,"QL-1930","wood","",101,"Jones Spring",FALSE
1361,7237,118586,10264,84444,10743,"Carbon-14","Radiocarbon years BP",48900,900,900,FALSE,NA,"QL-962","wood","",101,"Jones Spring",FALSE
1361,7237,118587,10264,84444,10744,"Carbon-14","Radiocarbon years BP",39020,2600,2600,FALSE,NA,"TX-1626","humates","Sample located in lower portion of analysis unit. Date too young, contamination probable.",101,"Jones Spring",TRUE
1361,7237,118585,10264,84444,10742,"Uranium series","Calendar years BP",220000,1e+05,60000,FALSE,NA,"66E1","Mammut americanum tooth enamel, upper third molar","",101,"Jones Spring",FALSE
1361,7237,119314,10264,84444,11471,"Uranium series","Calendar years BP",51000,6400,6400,FALSE,NA,"66D2","Mammut americanum tooth dentin, upper third molar",NA,101,"Jones Spring",FALSE
1361,7237,119315,10264,84444,11472,"Uranium series","Calendar years BP",23400,1200,1200,FALSE,NA,"191D1","Mammuthus molar plate dentin",NA,101,"Jones Spring",FALSE
1361,7237,119316,10264,84444,11473,"Uranium series","Calendar years BP",78000,4000,4000,FALSE,NA,"191C1","Mammuthus molar plate cementum",NA,101,"Jones Spring",FALSE
1361,7237,119317,10264,84444,11474,"Uranium series","Calendar years BP",53000,6000,6000,FALSE,NA,"70B1","unidentified bone fragment",NA,101,"Jones Spring",FALSE
1361,7237,118588,10264,84445,10745,"Carbon-14","Radiocarbon years BP",40000,NA,NA,TRUE,NA,"TX-1627","","",101,"Jones Spring",FALSE
1361,7237,118589,10264,84445,10746,"Carbon-14","Radiocarbon years BP",51000,1500,1500,FALSE,NA,"QL-1430","plant matter","",101,"Jones Spring",FALSE
1361,7237,119318,10264,84445,11475,"Uranium series","Calendar years BP",101000,12000,12000,FALSE,NA,"189E1","Mammut americanum tooth enamel, upper second molar, right maxilla",NA,101,"Jones Spring",FALSE
1361,7237,119319,10264,84445,11476,"Uranium series","Calendar years BP",88700,6400,6400,FALSE,NA,"189E3","Mammut americanum tooth enamel, upper second molar, right maxilla",NA,101,"Jones Spring",FALSE
1361,7237,119320,10264,84445,11477,"Uranium series","Calendar years BP",86000,7000,7000,FALSE,NA,"189E4","Mammut americanum tooth enamel, upper second molar, right maxilla",NA,101,"Jones Spring",FALSE
1361,7237,119321,10264,84445,11478,"Uranium series","Calendar years BP",76000,5000,5000,FALSE,NA,"189D1","Mammut americanum tooth dentin, upper second molar, right maxilla",NA,101,"Jones Spring",FALSE
1361,7237,119322,10264,84445,11479,"Uranium series","Calendar years BP",157000,14000,14000,FALSE,NA,"189B1","Mammut americanum bone",NA,101,"Jones Spring",FALSE
1361,7237,119323,10264,84445,11480,"Uranium series","Calendar years BP",147000,7000,7000,FALSE,NA,"192E1","Mammuthus molar plate enamel",NA,101,"Jones Spring",FALSE
1361,7237,119324,10264,84445,11481,"Uranium series","Calendar years BP",44000,20000,20000,FALSE,NA,"192D1","Mammuthus molar plate dentin",NA,101,"Jones Spring",FALSE
1361,7237,119325,10264,84445,11482,"Uranium series","Calendar years BP",150000,9000,9000,FALSE,NA,"192C1","Mammuthus molar plate cementum",NA,101,"Jones Spring",FALSE
1361,7237,118590,10264,84446,10747,"Carbon-14","Radiocarbon years BP",35320,NA,NA,TRUE,NA,"SMU-94","","",101,"Jones Spring",FALSE
1361,7237,118591,10264,84446,10748,"Carbon-14","Radiocarbon years BP",44040,2660,2660,FALSE,NA,"SMU-96","humates","",101,"Jones Spring",FALSE
1361,7237,119326,10264,84446,11483,"Uranium series","Calendar years BP",148000,10000,10000,FALSE,NA,"69E1","Mammut americanum tooth enamel, upper first molar",NA,101,"Jones Spring",FALSE
1361,7237,119327,10264,84446,11484,"Uranium series","Calendar years BP",157000,8000,8000,FALSE,NA,"69E2","Mammut americanum tooth enamel, upper first molar",NA,101,"Jones Spring",FALSE
1361,7237,119328,10264,84446,11485,"Uranium series","Calendar years BP",19300,2000,2000,FALSE,NA,"69D1","Mammut americanum tooth dentin, upper first molar",NA,101,"Jones Spring",FALSE
1361,7237,119329,10264,84446,11486,"Uranium series","Calendar years BP",35400,2800,2800,FALSE,NA,"69B1","Mammut americanum bone",NA,101,"Jones Spring",FALSE
1361,7237,119330,10264,84446,11487,"Uranium series","Calendar years BP",39400,3000,3000,FALSE,NA,"186E1","Mammut americanum tooth enamel, lower second molar",NA,101,"Jones Spring",FALSE
1361,7237,119331,10264,84446,11488,"Uranium series","Calendar years BP",40300,3200,3200,FALSE,NA,"186E2","Mammut americanum tooth enamel, lower second molar",NA,101,"Jones Spring",FALSE
1361,7237,119332,10264,84446,11489,"Uranium series","Calendar years BP",43000,2000,2000,FALSE,NA,"186D1","Mammut americanum tooth dentin, lower second molar",NA,101,"Jones Spring",FALSE
1361,7237,119333,10264,84446,11490,"Uranium series","Calendar years BP",26000,1600,1600,FALSE,NA,"186B1","Mammut americanum bone",NA,101,"Jones Spring",FALSE
1361,7237,119334,10264,84446,11491,"Uranium series","Calendar years BP",74000,4200,4200,FALSE,NA,"187E1","Mammut americanum tooth enamel, right upper second molar",NA,101,"Jones Spring",FALSE
1361,7237,119335,10264,84446,11492,"Uranium series","Calendar years BP",50000,2400,2400,FALSE,NA,"187E2","Mammut americanum tooth enamel, right upper second molar",NA,101,"Jones Spring",FALSE
1361,7237,119336,10264,84446,11493,"Uranium series","Calendar years BP",38400,3000,3000,FALSE,NA,"187E3","Mammut americanum tooth enamel, right upper second molar",NA,101,"Jones Spring",FALSE
1361,7237,119337,10264,84446,11494,"Uranium series","Calendar years BP",19600,800,800,FALSE,NA,"187D1","Mammut americanum tooth dentin, right upper second molar",NA,101,"Jones Spring",FALSE
1361,7237,119338,10264,84446,11495,"Uranium series","Calendar years BP",20300,800,800,FALSE,NA,"187B1","Mammut americanum bone",NA,101,"Jones Spring",FALSE
1361,7237,119339,10264,84446,11496,"Uranium series","Calendar years BP",36800,2800,2800,FALSE,NA,"188E1","Mammut americanum tooth enamel, upper second molar",NA,101,"Jones Spring",FALSE
1361,7237,119340,10264,84446,11497,"Uranium series","Calendar years BP",19300,1600,1600,FALSE,NA,"188D1","Mammut americanum tooth dentin, upper second molar",NA,101,"Jones Spring",FALSE
1361,7237,119341,10264,84446,11498,"Uranium series","Calendar years BP",27700,1200,1200,FALSE,NA,"188B1","Mammut americanum bone",NA,101,"Jones Spring",FALSE
1361,7237,119342,10264,84446,11499,"Uranium series","Calendar years BP",59000,7000,7000,FALSE,NA,"92B1","unidentified bone fragment",NA,101,"Jones Spring",FALSE
1361,7237,119343,10264,84446,11500,"Uranium series","Calendar years BP",20000,3000,3000,FALSE,NA,"93B1","unidentified bone fragment",NA,101,"Jones Spring",FALSE
3531,4414,114959,9270,80050,7116,"Carbon-14","Radiocarbon years BP",11980,180,180,FALSE,NA,"I-5657","bone collagen","Sample located in lower portion of analysis unit.",114,"Chimney Rock Animal Trap",FALSE
3531,4414,114960,9270,80050,7117,"Carbon-14","Radiocarbon years BP",3890,105,105,FALSE,NA,"I-5658","bone collagen","Sample located in upper portion of analysis unit. Date rejected by author.",114,"Chimney Rock Animal Trap",TRUE
3532,4415,114961,9271,80051,7118,"Carbon-14","Radiocarbon years BP",8400,500,500,FALSE,NA,"Gx-1283","bone collagen","Sample located in middle portion of analysis unit.",138,"Lindenmeier [5LR13]",FALSE
3532,4415,114962,9271,80051,7119,"Carbon-14","Radiocarbon years BP",11200,400,400,FALSE,NA,"Gx-1282","charcoal","Sample located in middle portion of analysis unit.",138,"Lindenmeier [5LR13]",FALSE
3532,4415,114963,9271,80051,7120,"Carbon-14","Radiocarbon years BP",10780,375,375,FALSE,NA,"I-141","charcoal","Sample located in middle portion of analysis unit.",138,"Lindenmeier [5LR13]",FALSE
3532,4415,114964,9271,80051,7121,"Carbon-14","Radiocarbon years BP",5020,300,300,FALSE,NA,"C-451","charcoal","Date rejected by author.",138,"Lindenmeier [5LR13]",TRUE
3533,4416,114965,9272,80052,7122,"Carbon-14","Radiocarbon years BP",10020,320,320,FALSE,NA,NA,"charcoal","",123,"Jones-Miller",FALSE
3533,4416,114966,9272,80052,7123,"Carbon-14","Radiocarbon years BP",7785,345,345,FALSE,NA,NA,"charred bone","Date rejected by author.",123,"Jones-Miller",TRUE
3533,4416,114967,9272,80052,7124,"Carbon-14","Radiocarbon years BP",8620,185,185,FALSE,NA,NA,"bone","Date rejected by author.",123,"Jones-Miller",TRUE
3533,4416,114968,9272,80052,7125,"Carbon-14","Radiocarbon years BP",16600,2500,2500,FALSE,NA,NA,"charcoal","Date rejected by author.",123,"Jones-Miller",TRUE
3534,4417,114969,9273,80053,7126,"Carbon-14","Radiocarbon years BP",11710,150,150,FALSE,NA,"SI-2877","bone collagen","Sample located at lower contact of analysis unit.",47,"Selby",FALSE
3534,4417,114970,9273,80053,7127,"Carbon-14","Radiocarbon years BP",7880,150,150,FALSE,NA,"SI-3541","bone collagen","",47,"Selby",FALSE
3534,4417,114971,9273,80055,7128,"Carbon-14","Radiocarbon years BP",13600,485,485,FALSE,NA,"SI-5186","bone collagen","",47,"Selby",FALSE
3534,4417,114972,9273,80055,7129,"Carbon-14","Radiocarbon years BP",16630,320,320,FALSE,NA,"SI-5185","bone collagen","",47,"Selby",FALSE
3536,4419,114977,9275,80059,7134,"Carbon-14","Radiocarbon years BP",11040,500,500,FALSE,NA,"A-490","charred plant matter","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114978,9275,80059,7135,"Carbon-14","Radiocarbon years BP",11630,400,400,FALSE,NA,"A-491","charred plant matter","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114979,9275,80059,7136,"Carbon-14","Radiocarbon years BP",11170,360,360,FALSE,NA,"A-481","","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114980,9275,80059,7137,"Carbon-14","Radiocarbon years BP",6370,160,160,FALSE,NA,"A-536","bone","Date rejected by author.",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,681459,9275,80059,53972,"Carbon-14","Radiocarbon years BP",9560,180,180,FALSE,NA,"AA-1371","Charcoal","date rejected by author",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,681460,9275,80059,53973,"Carbon-14","Radiocarbon years BP",10580,100,100,FALSE,NA,"AA-1360","Humates","date rejected by author",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,114981,9275,80060,7138,"Carbon-14","Radiocarbon years BP",9890,290,290,FALSE,NA,"A-489","charred plant matter","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114982,9275,80060,7139,"Carbon-14","Radiocarbon years BP",8470,350,350,FALSE,NA,"A-512","charred bone","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114983,9275,80060,7140,"Carbon-14","Radiocarbon years BP",6300,150,150,FALSE,NA,"O-169","bone","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114984,9275,80060,7141,"Carbon-14","Radiocarbon years BP",6230,150,150,FALSE,NA,"O-170","charred bone","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681461,9275,80060,53974,"Carbon-14","Radiocarbon years BP",8830,120,120,FALSE,NA,"AA-1413","Burned bone",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681462,9275,80060,53975,"Carbon-14","Radiocarbon years BP",9590,120,120,FALSE,NA,"AA-1359","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681463,9275,80060,53976,"Carbon-14","Radiocarbon years BP",10190,130,130,FALSE,NA,"AA-1358","Organic residue",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681464,9275,80060,53977,"Carbon-14","Radiocarbon years BP",11400,190,190,FALSE,NA,"AA-1368","Humates","date rejected by author",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,681465,9275,80060,53978,"Carbon-14","Radiocarbon years BP",9150,90,90,FALSE,NA,"AA-1367","Organic residue",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681466,9275,80060,53979,"Carbon-14","Radiocarbon years BP",9890,100,100,FALSE,NA,"AA-1366","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681467,9275,80060,53980,"Carbon-14","Radiocarbon years BP",8230,100,100,FALSE,NA,"AA-1365","Organic residue","date rejected by author",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,681468,9275,80060,53981,"Carbon-14","Radiocarbon years BP",8639,310,310,FALSE,NA,"A-4700","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681469,9275,80060,53982,"Carbon-14","Radiocarbon years BP",10000,910,910,FALSE,NA,"A-4703","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681470,9275,80060,53983,"Carbon-14","Radiocarbon years BP",9260,320,320,FALSE,NA,"A-4705","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681471,9275,80060,53984,"Carbon-14","Radiocarbon years BP",10250,200,200,FALSE,NA,"A-1372","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681472,9275,80060,53985,"Carbon-14","Radiocarbon years BP",7020,180,180,FALSE,NA,"Y-2487","Sediment organic residue",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681473,9275,80060,53986,"Carbon-14","Radiocarbon years BP",8830,160,160,FALSE,NA,"Y-2488","Sediment organic residue",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681474,9275,80060,53987,"Carbon-14","Radiocarbon years BP",7610,160,160,FALSE,NA,"Y-1990","Bison bone",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114985,9275,80061,7142,"Carbon-14","Radiocarbon years BP",10170,250,250,FALSE,NA,"A-488","charred plant matter","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114986,9275,80061,7143,"Carbon-14","Radiocarbon years BP",10490,200,200,FALSE,NA,"A-386","charred plant matter","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114987,9275,80061,7144,"Carbon-14","Radiocarbon years BP",10490,200,200,FALSE,NA,"A-492","","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114988,9275,80061,7145,"Carbon-14","Radiocarbon years BP",10250,320,320,FALSE,NA,"A-379","","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681475,9275,80061,53989,"Carbon-14","Radiocarbon years BP",6660,160,160,FALSE,NA,"AA-1409","Bone organics",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681476,9275,80061,53990,"Carbon-14","Radiocarbon years BP",10640,110,110,FALSE,NA,"AA-1361","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681477,9275,80061,53991,"Carbon-14","Radiocarbon years BP",9950,100,100,FALSE,NA,"AA-2261","Humates","date rejected by author",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,681478,9275,80061,53992,"Carbon-14","Radiocarbon years BP",9870,320,320,FALSE,NA,"A-4702","Humates","date rejected by author",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,681479,9275,80061,53993,"Carbon-14","Radiocarbon years BP",10260,230,230,FALSE,NA,"AA-1370","Charcoal",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681480,9275,80061,53994,"Carbon-14","Radiocarbon years BP",10210,110,110,FALSE,NA,"AA-1364","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681481,9275,80061,53995,"Carbon-14","Radiocarbon years BP",10740,100,100,FALSE,NA,"AA-1362","Organic residue",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681482,9275,80061,53997,"Carbon-14","Radiocarbon years BP",10470,580,580,FALSE,NA,"A-4701","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681483,9275,80061,53998,"Carbon-14","Radiocarbon years BP",9860,210,210,FALSE,NA,"AA-1412","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681484,9275,80061,53999,"Carbon-14","Radiocarbon years BP",9400,200,200,FALSE,NA,"Y-2489","Sediment organic residue",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681485,9275,80061,54000,"Carbon-14","Radiocarbon years BP",8430,200,200,FALSE,NA,"Y-1991","Bison bone",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681486,9275,80061,54001,"Carbon-14","Radiocarbon years BP",10600,320,320,FALSE,NA,"A-380","Sediment humic acids from A-379",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,114989,9275,80063,7146,"Carbon-14","Radiocarbon years BP",4950,150,150,FALSE,NA,"P-157","charred bone","Sample located at lower contact of analysis unit. Date rejected by author.",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,119189,9275,80063,11346,"Carbon-14","Radiocarbon years BP",5260,100,100,FALSE,NA,"CAMS-74637","XAD-resin-purified hydrolyzate from KOH-extracted gelatin from Bison bone","",72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681491,9275,80063,54006,"Carbon-14","Radiocarbon years BP",8730,90,90,FALSE,NA,"AA-2258","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681492,9275,80063,54007,"Carbon-14","Radiocarbon years BP",8230,140,140,FALSE,NA,"AA-1642","Burned bone",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681493,9275,80063,54008,"Carbon-14","Radiocarbon years BP",7850,110,110,FALSE,NA,"AA-2259","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681494,9275,80063,54009,"Carbon-14","Radiocarbon years BP",6720,80,80,FALSE,NA,"AA-2260","Charcoal",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681495,9275,80063,54011,"Carbon-14","Radiocarbon years BP",6190,130,130,FALSE,NA,"AA-1408","Bone organics","date rejected by author",72,"Blackwater Draw Loc. 1",TRUE
3536,4419,681496,9275,80063,54012,"Carbon-14","Radiocarbon years BP",4950,150,150,FALSE,NA,"O-157","Burned bison bone",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681497,9275,80063,54013,"Carbon-14","Radiocarbon years BP",4855,90,90,FALSE,NA,"SI-4585","Soil organic residue",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681487,9275,80062,54002,"Carbon-14","Radiocarbon years BP",12790,160,160,FALSE,NA,"AA-2263","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681488,9275,80062,54003,"Carbon-14","Radiocarbon years BP",12330,110,110,FALSE,NA,"AA-1374","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681489,9275,80062,54004,"Carbon-14","Radiocarbon years BP",11810,90,90,FALSE,NA,"AA-2262","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3536,4419,681490,9275,80062,54005,"Carbon-14","Radiocarbon years BP",11380,150,150,FALSE,NA,"AA-1375","Humates",NA,72,"Blackwater Draw Loc. 1",FALSE
3537,4420,114990,9276,80064,7147,"Carbon-14","Radiocarbon years BP",550,90,90,FALSE,NA,"TX-256","charcoal","",NA,"Spring Canyon [A-41]",FALSE
3538,4421,114991,9277,80065,7148,"Carbon-14","Radiocarbon years BP",650,70,70,FALSE,NA,"WIS-134","charcoal","",NA,"Roper [41HC6(A62)]",FALSE
3538,4421,114992,9277,80065,7149,"Carbon-14","Radiocarbon years BP",580,70,70,FALSE,NA,"WIS-141","charcoal","",NA,"Roper [41HC6(A62)]",FALSE
3539,4422,679629,61351,80066,52127,"Carbon-14","Radiocarbon years BP",480,80,80,FALSE,NA,"Tx-259","charcoal",NA,NA,"Alibates",FALSE
3539,4422,679630,61351,80066,52128,"Carbon-14","Radiocarbon years BP",600,70,70,FALSE,NA,"WIS-101","charcoal","specimen extracted with petroleum ether due to possible paraffin contamination",NA,"Alibates",FALSE
3539,4422,679631,61351,80066,52129,"Carbon-14","Radiocarbon years BP",630,70,70,FALSE,NA,"WIS-116","charcoal",NA,NA,"Alibates",FALSE
3539,4422,679632,61351,80066,52130,"Carbon-14","Radiocarbon years BP",600,75,75,FALSE,NA,"WIS-114","charcoal","specimen extracted with petroleum ether due to possible paraffin contamination",NA,"Alibates",FALSE
3539,4422,679633,61351,80066,52131,"Carbon-14","Radiocarbon years BP",770,75,75,FALSE,NA,"WIS-129","charcoal",NA,NA,"Alibates",FALSE
3540,4423,679634,61352,80067,52132,"Carbon-14","Radiocarbon years BP",1250,60,60,FALSE,NA,"WIS-414","charcoal",NA,NA,"Canyon City Club Cave [A251]",FALSE
3540,4423,679635,61352,80067,52133,"Carbon-14","Radiocarbon years BP",700,60,60,FALSE,NA,"WIS-421","charcoal",NA,NA,"Canyon City Club Cave [A251]",FALSE
