"","obfuscation.problem","ndb.sites.siteid","ndb.sites.sitename","ndb.publications.publicationid","doi","isbn","ndb.publications.citation","ndb.publications.pubtypeid","ndb.collectionunits.collectionunitid","ndb.collectionunits.handle","discovery","ndb.analysisunits.analysisunitid","ndb.analysisunits.analysisunitname","ndb.geochronology.geochronid","ndb.geochronology.labnumber","ndb.geochronology.age","ndb.geochronology.errorolder","ndb.geochronology.erroryounger","ndb.geochronology.infinite","ndb.geochronology.materialdated","taxonname","ndb.variables.taxonid","elementdated","ndb.variables.variableelementid","ndb.repositoryinstitutions.repositoryid","repository","acronym","ndb.specimens.specimennr","ndb.geochronology.depth","ndb.geochronology.notes","ndb.radiocarbon.radiocarbonmethodid","ndb.radiocarbon.d13C","ndb.radiocarbon.d15N","ndb.radiocarbon.C:N","rejected","ndb.geochronology.agetypeid","ndb.geochronology.geochrontypeid","human","validationnotes","geochronologyid","datasetid","sampleid","datasetid.1","analysisunitid"
"11","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"Y-2487",7020,180,180,FALSE,"Sediment organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"12","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"A-1372",10250,200,200,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"13","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"A-4705",9260,320,320,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"14","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"A-4703",10000,910,910,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"15","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"AA-1358",10190,130,130,FALSE,"Organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"16","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80060,"Carbonaceous silt",NA,"AA-1359",9590,120,120,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80060
"17","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"AA-2261",9950,100,100,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"date rejected by author",2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,9275,80061
"18","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"Y-1991",8430,200,200,FALSE,"Bison bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"19","",3536,"Blackwater Draw Loc. 1",NA,"10.1017/S0033822200010560",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"A-380",10600,320,320,FALSE,"Sediment humic acids from A-379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"20","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"AA-1409",6660,160,160,FALSE,"Bone organics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"21","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"A-1372",10250,200,200,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"22","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"AA-1361",10640,110,110,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"23","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"Y-2489",9400,200,200,FALSE,"Sediment organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"24","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"AA-1412",9860,210,210,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"25","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"A-4701",10470,580,580,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"26","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"AA-1362",10740,100,100,FALSE,"Organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"27","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"AA-1362",10160,120,120,FALSE,"Organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"28","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"AA-1364",10210,110,110,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"29","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"AA-1370",10260,230,230,FALSE,"Charcoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80061
"30","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80061,"Diatomite",NA,"A-4702",9870,320,320,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"date rejected by author",2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,9275,80061
"31","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80062,"Gray sand",NA,"AA-2263",12790,160,160,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"32","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80062,"Gray sand",NA,"AA-2262",11810,90,90,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"33","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80062,"Gray sand",NA,"AA-1375",11380,150,150,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"34","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80062,"Gray sand",NA,"AA-1374",12330,110,110,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"35","",3536,"Blackwater Draw Loc. 1",NA,"10.1016/0033-5894(85)90043-2",NA,NA,NA,4419,"BLKWTR1","literature search",80063,"Jointed sand",NA,"SI-4585",4855,90,90,FALSE,"Soil organic residue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80063
"36","",3536,"Blackwater Draw Loc. 1",NA,"10.1126/science.125.3254.919",NA,NA,NA,4419,"BLKWTR1","literature search",80063,"Jointed sand",NA,"O-157",4950,150,150,FALSE,"Burned bison bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80063
"37","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80063,"Jointed sand",NA,"AA-1408",6190,130,130,FALSE,"Bone organics",NA,NA,NA,NA,NA,NA,NA,NA,NA,"date rejected by author",2,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,9275,80063
"38","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80063,"Jointed sand",NA,"AA-1413",8830,120,120,FALSE,"Burned bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80063
"39","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80063,"Jointed sand",NA,"AA-2260",6720,80,80,FALSE,"Charcoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80063
"40","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80063,"Jointed sand",NA,"AA-2259",7850,110,110,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80063
"41","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80063,"Jointed sand",NA,"AA-1642",8230,140,140,FALSE,"Burned bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80063
"42","",3536,"Blackwater Draw Loc. 1",NA,"10.1002/gea.3340100502",NA,NA,NA,4419,"BLKWTR1","literature search",80063,"Jointed sand",NA,"AA-2258",8730,90,90,FALSE,"Humates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9275,80063
"43","",3539,"Alibates",NA,"10.1017/S0033822200000291",NA,NA,NA,4422,"ALIBATES","literature search",80066,"Cultural unit",NA,"Tx-259",480,80,80,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"44","",3539,"Alibates",NA,"10.1017/S0033822200000333",NA,NA,NA,4422,"ALIBATES","literature search",80066,"Cultural unit",NA,"WIS-101",600,70,70,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"specimen extracted with petroleum ether due to possible paraffin contamination",2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"45","",3539,"Alibates",NA,"10.1017/S0033822200000710",NA,NA,NA,4422,"ALIBATES","literature search",80066,"Cultural unit",NA,"WIS-129",770,75,75,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"46","",3539,"Alibates",NA,"10.1017/S0033822200000710",NA,NA,NA,4422,"ALIBATES","literature search",80066,"Cultural unit",NA,"WIS-116",630,70,70,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"47","",3539,"Alibates",NA,"10.1017/S0033822200000710",NA,NA,NA,4422,"ALIBATES","literature search",80066,"Cultural unit",NA,"WIS-114",600,75,75,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"specimen extracted with petroleum ether due to possible paraffin contamination",2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"48","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-402",1260,55,55,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 3",NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"49","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-412",1050,50,50,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 5",NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"50","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-394",0,0,0,FALSE,"bone, Bison bison","Bison bison",NA,NA,NA,NA,NA,NA,NA,"Level 4","Bison bison",2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"51","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-420",2100,60,60,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 5",NA,2,-0.257,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"52","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-421",700,60,60,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 2",NA,2,-0.262,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"53","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-414",1250,60,60,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 4",NA,2,-0.264,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"54","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-411",300,50,50,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 1",NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"55","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-403",670,50,50,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 2",NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"56","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-408",620,45,45,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 3",NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"57","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-430",2830,60,60,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 5",NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"58","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-410",400,60,60,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 1",NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"59","",3540,"Canyon City Club Cave [A251]",NA,"10.1017/S0033822200008584",NA,NA,NA,4423,"CANCTYCL","literature search",80067,"Cultural unit",NA,"WIS-404",1650,55,55,FALSE,"charcoal",NA,NA,NA,NA,NA,NA,NA,NA,"Level 4",NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,NA,NA
"60","",3543,"Lubbock Lake [41LU1]",NA,"10.1080/2052546.1983.11909122",NA,NA,NA,4426,"LUBBOCK","literature search",80078,"Stratum 2B A horizon",NA,"SMU-759",9330,70,70,FALSE,"humic acid, organic mud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9280,80078
"61","",3543,"Lubbock Lake [41LU1]",NA,"10.1080/2052546.1983.11909122",NA,NA,NA,4426,"LUBBOCK","literature search",80079,"Stratum 2B cienega",NA,"SMU-827",7980,180,180,FALSE,"humic acid, cienega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9280,80079
"62","",3543,"Lubbock Lake [41LU1]",NA,"10.1080/2052546.1983.11909122",NA,NA,NA,4426,"LUBBOCK","literature search",80079,"Stratum 2B cienega",NA,"SMU-830",8210,240,240,FALSE,"humic acid, cienega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9280,80079
"63","",3543,"Lubbock Lake [41LU1]",NA,"10.1080/2052546.1983.11909122",NA,NA,NA,4426,"LUBBOCK","literature search",80082,"Stratum 3l",NA,"SI-4172",5475,75,75,FALSE,"humic acid, buried A horizon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9280,80082
"64","",3543,"Lubbock Lake [41LU1]",NA,"10.1080/2052546.1983.11909122",NA,NA,NA,4426,"LUBBOCK","literature search",80082,"Stratum 3l",NA,"SI-3197",6115,75,75,FALSE,"humic acid, buried A horizon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9280,80082
"65","",3543,"Lubbock Lake [41LU1]",NA,"10.1016/j.quaint.2004.04.016",NA,NA,NA,4426,"LUBBOCK","literature search",80092,"Stratum IB",NA,"LL-308",12650,250,250,FALSE,"bone, Proboscidea","Proboscidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9280,80092
"66","",3546,"Peccary Cave","16894.0",NA,NA,NA,NA,4430,"PECCARYA","researcher contributed",80100,"Level 1",NA,"AA-6984",270,50,50,FALSE,"bone, Neotoma floridana, XAD purified gelatin hydrolysate","Neotoma floridana",NA,"mandible",NA,210,"University of Iowa Geological Repository","SUI","SUI-38279a","Trench 8, Square 4, Level 1",NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9282,80100
"67","",3546,"Peccary Cave","16894.0",NA,NA,NA,NA,4430,"PECCARYA","researcher contributed",80100,"Level 1",NA,"CAMS-12826",33270,430,430,FALSE,"bone, Neotoma floridana, XAD-KOH collagen","Neotoma floridana",NA,"l. mandible",NA,210,"University of Iowa Geological Repository","SUI","SUI-38279g","Trench 8, Square 4, Level 1",NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9282,80100
"68","",3546,"Peccary Cave","16894.0",NA,NA,NA,NA,4430,"PECCARYA","researcher contributed",80100,"Level 1",NA,"CAMS-12828",3400,70,70,FALSE,"bone, Neotoma floridana, XAD-KOH collagen","Neotoma floridana",NA,"r. mandible",NA,210,"University of Iowa Geological Repository","SUI","SUI-38279n","Trench 8, Square 1, Level 1",NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9282,80100
"69","",3546,"Peccary Cave","16894.0",NA,NA,NA,NA,4430,"PECCARYA","researcher contributed",80101,"Level 2",NA,"CAMS-12830",4330,60,60,FALSE,"bone, Neotoma floridana, XAD-KOH collagen","Neotoma floridana",NA,"l. mandible",NA,210,"University of Iowa Geological Repository","SUI","SUI-38279o","Trench 8, Square 1, Level 2",NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9282,80101
"70","",3546,"Peccary Cave","16894.0",NA,NA,NA,NA,4430,"PECCARYA","researcher contributed",80101,"Level 2",NA,"AA-6985",2345,50,50,FALSE,"bone, Neotoma floridana, XAD purified gelatin hydrolysate","Neotoma floridana",NA,"mandible",NA,210,"University of Iowa Geological Repository","SUI","SUI-38279b","Trench 8, Square 3, Level 2",NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9282,80101
"71","",3546,"Peccary Cave","16894.0",NA,NA,NA,NA,4430,"PECCARYA","researcher contributed",80101,"Level 2",NA,"CAMS-12831",16860,80,80,FALSE,"bone, Neotoma floridana, XAD-KOH collagen","Neotoma floridana",NA,"r. mandible",NA,210,"University of Iowa Geological Repository","SUI","SUI-38279h","Trench 8, Square 3, Level 2",NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,9282,80101
