ndb.sites.siteid,ndb.sites.sitename,ndb.publications.publicationid,doi,isbn,ndb.publications.citation,ndb.publications.pubtypeid,ndb.collectionunits.collectionunitid,ndb.collectionunits.handle,discovery,ndb.analysisunits.analysisunitid,ndb.analysisunits.analysisunitname,ndb.geochronology.geochronid,ndb.geochronology.labnumber,ndb.geochronology.age,ndb.geochronology.errorolder,ndb.geochronology.erroryounger,ndb.geochronology.infinite,ndb.geochronology.materialdated,taxonname,ndb.variables.taxonid,elementdated,ndb.variables.variableelementid,ndb.repositoryinstitutions.repositoryid,repository,acronym,ndb.specimens.specimennr,ndb.geochronology.depth,ndb.geochronology.notes,ndb.radiocarbon.radiocarbonmethodid,ndb.radiocarbon.d13C,ndb.radiocarbon.d15N,ndb.radiocarbon.C:N,rejected,ndb.geochronology.agetypeid,ndb.geochronology.geochrontypeid,human,validationnotes,geochronologyid,datasetid,sampleid,identifier_check,ndb.datasets.datasetid,geochrondsid_check,ndb.samples.sampleid,valid_geochron
10358,Innerkip Site [AhHe-VP],NA,10.1016/0033-5894(87)90040-8,NA,NA,NA,11720,INNERKIP,literature search,116061,Assemblage,14846,GSC-2010,42000,NA,NA,TRUE,detrital sapropel,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mud overlying fossiliferous peat, below late Wisconsinan till",1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,15753,Valid (existing),148097,Valid (updated)
10358,Innerkip Site [AhHe-VP],NA,10.1016/0033-5894(87)90040-8,NA,NA,NA,11720,INNERKIP,literature search,116061,Assemblage,14847,GSC-2010-2,50000,NA,NA,TRUE,detrital sapropel,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mud overlying fossiliferous peat, below late Wisconsinan till",1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,15753,Valid (existing),148098,Valid (updated)
10358,Innerkip Site [AhHe-VP],NA,10.1016/0033-5894(87)90040-8,NA,NA,NA,11720,INNERKIP,literature search,116061,Assemblage,14848,BGS-134B,33230,610,610,FALSE,peat,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fossiliferous peat 3.5-3.9 m depth, below late Wisconsinan till; date rejected as contaminated",1,NA,NA,NA,TRUE,4,2,FALSE,NA,NA,NA,NA,Valid,15753,Valid (existing),148099,Valid (updated)
10358,Innerkip Site [AhHe-VP],NA,10.1016/0033-5894(87)90040-8,NA,NA,NA,11720,INNERKIP,literature search,116061,Assemblage,14849,GSC-1810,43000,NA,NA,TRUE,detrital sapropel,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fossiliferous peat 3.5-3.9 m depth, below late Wisconsinan till",1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,15753,Valid (existing),148100,Valid (updated)
13689,Hueco Tanks,NA,10.5066/P91UOARW,NA,NA,NA,15365,HT2,literature search,149715,Assemblage,18954,A-1647,9380,270,270,FALSE,Opuntia phaeacantha and Opuntia violacea seeds (Opuntia phaeacantha-type seeds),"Opuntia phaeacantha, Opuntia violacea",NA,seeds,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,20868,Valid (existing),192520,Valid (updated)
3563,Robinson Cave,16894,NA,NA,NA,NA,35348,ROBCVCR,researcher contributed,355661,Assemblage,40525,CAMS-16405,16950,200,200,FALSE,"bone, Sorex arcticus R. Mandible, Carnegie Museum CM-8216",Sorex arcticus,NA,R. Mandible,NA,29,Carnegie Museum,NA,CM-8216,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,49213,Valid (existing),477334,Valid (updated)
3563,Robinson Cave,16894,NA,NA,NA,NA,35348,ROBCVCR,researcher contributed,355661,Assemblage,40526,CAMS-16408,33210,610,610,FALSE,"bone, Neotoma floridana L. Mandible, Carnegie Museum CM-8308",Neotoma floridana,NA,L. Mandible,NA,29,Carnegie Museum,NA,CM-8308,NA,NA,1,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,49213,Valid (existing),477332,Valid (updated)
3543,Lubbock Lake [41LU1],NA,10.1016/j.quaint.2004.04.016,NA,NA,NA,4426,LUBBOCK,literature search,80092,Stratum IB,NA,LL-308,12650,250,250,FALSE,"bone, Proboscidea",Proboscidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3543,Lubbock Lake [41LU1],NA,10.1080/2052546.1983.11909122,NA,NA,NA,4426,LUBBOCK,literature search,80082,Stratum 3l,NA,SI-3197,6115,75,75,FALSE,"humic acid, buried A horizon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3543,Lubbock Lake [41LU1],NA,10.1080/2052546.1983.11909122,NA,NA,NA,4426,LUBBOCK,literature search,80082,Stratum 3l,NA,SI-4172,5475,75,75,FALSE,"humic acid, buried A horizon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3543,Lubbock Lake [41LU1],NA,10.1080/2052546.1983.11909122,NA,NA,NA,4426,LUBBOCK,literature search,80078,Stratum 2B A horizon,NA,SMU-759,9330,70,70,FALSE,"humic acid, organic mud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3543,Lubbock Lake [41LU1],NA,10.1080/2052546.1983.11909122,NA,NA,NA,4426,LUBBOCK,literature search,80079,Stratum 2B cienega,NA,SMU-827,7980,180,180,FALSE,"humic acid, cienega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3543,Lubbock Lake [41LU1],NA,10.1080/2052546.1983.11909122,NA,NA,NA,4426,LUBBOCK,literature search,80079,Stratum 2B cienega,NA,SMU-830,8210,240,240,FALSE,"humic acid, cienega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14156,21500,290,290,FALSE,"bone, horse, KU 51467",Equus sp.,NA,NA,NA,212,KU,NA,51467,NA,Cobbly Grey,1,-20.5,4.7,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-X-321720,19480,110,110,FALSE,"bone, Canis, KU 48217",Canis sp.,NA,NA,NA,212,KU,NA,48217,NA,Cobbly Grey,1,-20.3,8,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14909,20920,90,90,FALSE,"bone, Equus metatarsal, KU 81921",Equus sp.,NA,metatarsal,NA,212,KU,NA,81921,NA,Cobbly Grey,1,-20.1,4.3,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,CAMS 170343,19680,60,60,FALSE,"bone, Panthera atrox, UW 51520",Panthera atrox,NA,NA,NA,248,UW,NA,51520,NA,Cobbly Grey,1,-20,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,CAMS 170344,19880,60,60,FALSE,"bone, Ovis canadensis, UW 51511",Ovis canadensis,NA,NA,NA,248,UW,NA,51511,NA,Cobbly Grey,1,-20,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,CAMS 170345,19840,60,60,FALSE,"bone, Panthera atrox, UW 51521",Panthera atrox,NA,NA,NA,248,UW,NA,51521,NA,Cobbly Grey,1,-20,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,CAMS 170346,20300,70,70,FALSE,"bone, Ovis canadensis, UW 51512",Ovis canadensis,NA,NA,NA,248,UW,NA,51512,NA,Cobbly Grey,1,-20,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80135,Holocene Unit,NA,CAMS 170347,3040,25,25,FALSE,"bone, Bison antiquus, UW 51535",Bison antiquus,NA,NA,NA,248,University of Wyoming Geological Museum,NA,51535,NA,Upper Cobbly,1,-20,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14854,20130,80,80,FALSE,"bone, Equus metatarsal, KU 53042",Equus sp.,NA,metatarsal,NA,212,KU,NA,53042,NA,Cobbly Grey,1,-20,4.2,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14857,22100,120,120,FALSE,"bone, Equus phalange I, KU 58328",Equus sp.,NA,phalange I,NA,212,KU,NA,58328,NA,Cobbly Grey,1,-20,3.9,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14905,19830,80,80,FALSE,"bone, Equus phalange I, KU 47682",Equus sp.,NA,phalange I,NA,212,KU,NA,47682,NA,Cobbly Grey,1,-20,4.8,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14855,19980,90,90,FALSE,"bone, Equus metatarsal, KU 53503",Equus sp.,NA,metatarsal,NA,212,KU,NA,53503,NA,Cobbly Grey,1,-19.9,4.3,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14858,19980,90,90,FALSE,"bone, Equus metatarsal, KU 48226",Equus sp.,NA,metatarsal,NA,212,KU,NA,48226,NA,Cobbly Grey,1,-19.9,4.2,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14911,19610,80,80,FALSE,"bone, Equus metatarsal, KU 53885",Equus sp.,NA,metatarsal,NA,212,KU,NA,53885,NA,Cobbly Grey,1,-19.9,5,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14908,21110,90,90,FALSE,"bone, Equus metatarsal, KU 50438",Equus sp.,NA,metatarsal,NA,212,KU,NA,50438,NA,Cobbly Grey,1,-19.6,4.5,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-14907,20940,90,90,FALSE,"bone, Equus metatarsal, KU 50438",Equus sp.,NA,metatarsal,NA,212,KU,NA,50438,NA,Cobbly Grey,1,-19.5,4.7,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80135,Holocene Unit,NA,CAMS 176875,3095,30,30,FALSE,"bone, Bison sp., UW 52735",Bison sp.,NA,NA,NA,248,UW,NA,52735,NA,Upper Cobbly,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80135,Holocene Unit,NA,CAMS 176882,110,30,30,FALSE,"bone, cf. Leporidae, UW 52725",cf. Leporidae,NA,NA,NA,248,UW,NA,52725,NA,Upper Cobbly,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80135,Holocene Unit,NA,CAMS 176883,3050,30,30,FALSE,"bone, Mammalia, UW 52726",Mammalia,NA,NA,NA,248,UW,NA,52726,NA,Upper Cobbly,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80135,Holocene Unit,NA,CAMS 176884,690,30,30,FALSE,"bone, Vertebrata, UW 52727",Vertebrata,NA,NA,NA,248,UW,NA,52727,NA,Upper Cobbly,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80135,Holocene Unit,NA,CAMS 176885,2245,35,35,FALSE,"bone, Vertebrata, UW 52728",Vertebrata,NA,NA,NA,248,UW,NA,52728,NA,Upper Cobbly,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,CAMS 176886,20270,80,80,FALSE,"bone, Vertebrata, UW 52730",Vertebrata,NA,NA,NA,248,UW,NA,52730,NA,Cobbly Grey,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,CAMS 176887,21060,90,90,FALSE,"bone, cf. Artiodactyla, UW 52732",cf. Artiodactyla,NA,NA,NA,248,UW,NA,52732,NA,Cobbly Grey,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,CAMS 176888,21510,90,90,FALSE,"bone, Mammalia, UW 52733",Mammalia,NA,NA,NA,248,UW,NA,52733,NA,Cobbly Grey,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80136,Unit 1,NA,CAMS 176891,20400,80,80,FALSE,"bone, Vertebrata, UW 53750",Vertebrata,NA,NA,NA,248,UW,NA,53750,NA,Upper Red,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80136,Unit 1,NA,CAMS 176893,6750,30,30,FALSE,"bone, Vertebrata, UW 53752",Vertebrata,NA,NA,NA,248,UW,NA,53752,NA,Upper Red,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80136,Unit 1,NA,CAMS 176897,20330,80,80,FALSE,"bone, Vertebrata, UW 53750",Vertebrata,NA,NA,NA,248,UW,NA,53750,NA,Upper Red,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80136,Unit 1,NA,CAMS 176898,6725,35,35,FALSE,"bone, Vertebrata, UW 53752",Vertebrata,NA,NA,NA,248,UW,NA,53752,NA,Upper Red,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80136,Unit 1,NA,CAMS 176899,7790,35,35,FALSE,"bone, Vertebrata, UW 53751",Vertebrata,NA,NA,NA,248,UW,NA,53751,NA,Upper Red,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80137,Unit 2,NA,CAMS 186411,14450,360,360,FALSE,"bone, Vertebrata, UW 54757",Vertebrata,NA,NA,NA,248,UW,NA,54757,NA,Grey Silt,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80139,Unit 4,NA,CAMS 186413,23720,140,140,FALSE,"bone, Vulpes, UW 54558",Vulpes,NA,NA,NA,248,UW,NA,54558,NA,Mottled Silt,1,-19,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80135,Holocene Unit,NA,OxA-37996,3066,27,27,FALSE,"bone, Bison sp., UW 51537",Bison sp.,NA,NA,NA,248,UW,NA,51537,NA,Upper Cobbly,1,-19,7.5,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,CAMS 170433,20140,60,60,FALSE,"bone, Camelops sp., UW 51516",Camelops sp.,NA,NA,NA,248,UW,NA,51516,NA,Cobbly Grey,1,-18.7,NA,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-37586,20880,120,120,FALSE,"bone, Bison sp., KU 50992",Bison sp.,NA,NA,NA,212,KU,NA,50992,NA,Cobbly Grey,1,-18.7,5.9,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-37995,19720,120,120,FALSE,"bone, Bison sp., KU 40927",Bison sp.,NA,NA,NA,212,KU,NA,40927,NA,Cobbly Grey,1,-18.7,6.3,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-37584,20850,120,120,FALSE,"bone, Canis",Canis sp.,NA,NA,NA,248,UW,NA,52671,"bone, Canis sp., UW 52671",Cobbly Grey,1,-18.4,8.8,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-37994,19560,110,110,FALSE,"bone, Bison sp., KU 44741",Bison sp.,NA,NA,NA,212,KU,NA,44741,NA,Cobbly Grey,1,-18.4,6.2,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80135,Holocene Unit,NA,OxA-37897,3096,27,27,FALSE,"bone, Bison sp., KU 43556",Bison sp.,NA,NA,NA,213,University of Kansas Biodiversity Institute Division of Vertebrate Paleontology,NA,KU43556,NA,Upper Cobbly,1,-18.3,8.3,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-37990,20220,150,150,FALSE,"bone, Arctodus simus, KU 31956",Arctodus simus,NA,NA,NA,212,KU,NA,31956,NA,Cobbly Grey,1,-18.2,11.7,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-37991,20730,120,120,FALSE,"bone, Camelops sp., UW 51516",Camelops sp.,NA,NA,NA,248,UW,NA,51516,NA,Cobbly Grey,1,-18.2,5.4,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
3554,Natural Trap Cave,NA,10.1016/j.quaint.2022.02.008,NA,NA,NA,4442,NATTRAP,literature search,80138,Unit 3,NA,OxA-12124,20380,90,90,FALSE,"bone, Bison sp., KU 51275",Bison sp.,NA,NA,NA,212,KU,NA,51275,NA,Cobbly Grey,1,-18.1,6.3,NA,NA,4,2,FALSE,NA,NA,NA,NA,Valid,NA,Invalid,NA,NA
